horse_no,date,work_type,racecourse,track,workout_details,gear
D241,23/01/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,22/01/2026,游水,沙田,,,
D241,22/01/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,21/01/2026,游水,沙田,,,
D241,18/01/2026,出賽,沙田,草地,2000M (田泰安) (1/14),B/TT
D241,18/01/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,17/01/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,16/01/2026,游水,沙田,,,
D241,16/01/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,15/01/2026,游水,沙田,,,
D241,15/01/2026,快操,沙田,全天候,31.0 26.6 (57.6) (田泰安),
D241,15/01/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,14/01/2026,游水,沙田,,,
D241,14/01/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,13/01/2026,游水,沙田,,,
D241,13/01/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,12/01/2026,游水,沙田,,,
D241,12/01/2026,快操,沙田,全天候,30.1 25.9 (56.0) (助手),
D241,12/01/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,10/01/2026,游水,沙田,,,
D241,10/01/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,09/01/2026,游水,沙田,,,
D241,09/01/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,08/01/2026,游水,沙田,,,
D241,08/01/2026,快操,沙田,草閘,27.0 23.7 (50.7) (田泰安) 皇者威楓,
D241,08/01/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,07/01/2026,游水,沙田,,,
D241,07/01/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,06/01/2026,游水,沙田,,,
D241,06/01/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,05/01/2026,快操,沙田,全天候,32.1 26.8 (58.9) (助手),
D241,05/01/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,04/01/2026,游水,沙田,,,
D241,03/01/2026,游水,沙田,,,
D241,03/01/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,02/01/2026,游水,沙田,,,
D241,02/01/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,01/01/2026,游水,沙田,,,
D241,01/01/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),
D241,31/12/2025,游水,沙田,,,
D241,31/12/2025,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,30/12/2025,游水,沙田,,,
D241,29/12/2025,游水,沙田,,,
D241,27/12/2025,出賽,沙田,全天候,1800M (金誠剛) (2/14),B/TT
D241,26/12/2025,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,25/12/2025,游水,沙田,,,
D241,25/12/2025,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,24/12/2025,游水,沙田,,,
D241,24/12/2025,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,23/12/2025,游水,沙田,,,
