horse_no,date,work_type,racecourse,track,workout_details,gear
J346,19/02/2026,出賽,沙田,草地,1200M (巴度) (1/14),B/TT
J346,19/02/2026,踱步,沙田,河畔跑道,河畔跑道 踱步 (助手),H
J346,18/02/2026,游水,沙田,,,
J346,18/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,16/02/2026,游水,沙田,,,
J346,16/02/2026,快操,沙田,全天候,26.0 (26.0) (助手),H
J346,16/02/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J346,15/02/2026,游水,沙田,,,
J346,15/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,14/02/2026,游水,沙田,,,
J346,14/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,13/02/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
J346,13/02/2026,游水,沙田,,,
J346,12/02/2026,游水,沙田,,,
J346,12/02/2026,快操,沙田,全天候,26.3 (26.3) (助手),H
J346,12/02/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J346,11/02/2026,游水,沙田,,,
J346,11/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,10/02/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
J346,10/02/2026,游水,沙田,,,
J346,09/02/2026,游水,沙田,,,
J346,09/02/2026,快操,沙田,全天候,26.3 (26.3) (助手),H
J346,09/02/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J346,08/02/2026,游水,沙田,,,
J346,08/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,07/02/2026,游水,沙田,,,
J346,07/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,06/02/2026,游水,沙田,,,
J346,06/02/2026,踱步,沙田,河畔跑道,河畔跑道 踱步 (助手),H
J346,05/02/2026,游水,沙田,,,
J346,05/02/2026,快操,沙田,全天候,26.5 (26.5) (助手),H
J346,05/02/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J346,04/02/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
J346,04/02/2026,游水,沙田,,,
J346,03/02/2026,游水,沙田,,,
J346,03/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,02/02/2026,游水,沙田,,,
J346,02/02/2026,快操,沙田,全天候,28.6 (28.6) (助手),H
J346,02/02/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J346,01/02/2026,游水,沙田,,,
J346,01/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,31/01/2026,游水,沙田,,,
J346,31/01/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,30/01/2026,游水,沙田,,,
J346,30/01/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,29/01/2026,馬匹跑步機,沙田,,馬匹跑步機 - 踱步 （上斜）,
J346,29/01/2026,游水,沙田,,,
J346,28/01/2026,游水,沙田,,,
J346,27/01/2026,游水,沙田,,,
J346,25/01/2026,出賽,沙田,草地,1200M (巴度) (4/14),B/TT
J346,25/01/2026,踱步,沙田,河畔跑道,河畔跑道 踱步 (助手),H
J346,24/01/2026,游水,沙田,,,
J346,24/01/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,23/01/2026,游水,沙田,,,
J346,23/01/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,22/01/2026,游水,沙田,,,
J346,22/01/2026,快操,沙田,全天候,27.6 (27.6) (助手),H
J346,22/01/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J346,21/01/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
J346,21/01/2026,游水,沙田,,,
J346,20/01/2026,游水,沙田,,,
J346,20/01/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,19/01/2026,游水,沙田,,,
J346,19/01/2026,快操,沙田,全天候,25.5 (25.5) (助手),H
J346,19/01/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J346,18/01/2026,游水,沙田,,,
J346,18/01/2026,踱步,沙田,河畔跑道,河畔跑道 踱步 (副練馬師),H
J346,17/01/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
J346,16/01/2026,游水,從化,,,
